feature,importance
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_CNT_UNINITIALIZED_DATA', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_TYPE_COPY', 'IMAGE_SCN_TYPE_DSECT', 'IMAGE_SCN_TYPE_GROUP', 'IMAGE_SCN_TYPE_NOLOAD', 'IMAGE_SCN_TYPE_NO_PAD']",7.726860902734321e-06
numeric__rdata_PointerToLineNumbers,7.210492287845835e-06
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_LNK_COMDAT', 'IMAGE_SCN_MEM_READ']",6.71782514001169e-06
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_CNT_UNINITIALIZED_DATA', 'IMAGE_SCN_GPREL', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_NO_DEFER_SPEC_EXC']",5.984590244473354e-06
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_GUARD_CF', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE', 'IMAGE_LIBRARY_THREAD_INIT']",5.634001166634888e-06
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_READ']",5.577440704258664e-06
"categorical__text_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_CNT_UNINITIALIZED_DATA', 'IMAGE_SCN_GPREL', 'IMAGE_SCN_LNK_COMDAT', 'IMAGE_SCN_LNK_INFO', 'IMAGE_SCN_LNK_REMOVE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_NO_DEFER_SPEC_EXC', 'IMAGE_SCN_TYPE_DSECT', 'IMAGE_SCN_TYPE_NOLOAD', 'IMAGE_SCN_TYPE_OVER']",5.072323424981764e-06
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_GUARD_CF', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE', 'IMAGE_LIBRARY_PROCESS_TERM']",4.985432543600218e-06
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_NOT_PAGED', 'IMAGE_SCN_MEM_READ']",4.655650159006059e-06
numeric__rdata_PointerToRelocations,4.397257564821423e-06
categorical__text_Characteristics_['IMAGE_SCN_MEM_READ'],4.28115067286263e-06
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE', 'IMAGE_LIBRARY_PROCESS_INIT']",4.273307474344093e-06
